# Gate-1 level-raising scan: verdicts recovered from the chatelet lane logs.
# A prime q0 is admissible iff the constant coefficient of charpoly(T_q|V16)
# is even, i.e. const2val >= 1.  const2val = 0 everywhere below: no hit.
# Primes in the script's static DONE set whose log lines predate the surviving
# *.out files are recorded as scanned with verdict only.
q,norm,trace_mod2,const2val,source
1249,1249,1,0,log
1279,1279,0,0,log
1409,1409,0,0,log
1439,1439,0,0,log
1471,1471,1,0,log
1567,1567,0,0,log
1601,1601,0,0,log
1663,1663,1,0,log
1697,1697,0,0,log
1759,1759,1,0,log
1823,1823,0,0,log
1889,1889,0,0,log
1951,1951,1,0,log
17,,,,done-set
31,,,,done-set
97,,,,done-set
127,,,,done-set
191,,,,done-set
193,,,,done-set
223,,,,done-set
257,,,,done-set
353,,,,done-set
383,,,,done-set
449,,,,done-set
479,,,,done-set
577,,,,done-set
607,,,,done-set
641,,,,done-set
673,,,,done-set
769,,,,done-set
863,,,,done-set
929,,,,done-set
991,,,,done-set
1087,,,,done-set
1151,,,,done-set
1153,,,,done-set
1217,,,,done-set
