order,id,struct,dM,e0,e1,einf,genus,dimZG,dimMG,r,rL,indec,dimEnd,EndModRad,subgp_bin
4,1,C4,0,4,4,2,1,2,1,1,1,True,2,M1(F2),"(1, 2, 2)"
4,1,C4,0,4,2,4,1,2,1,1,1,True,2,M1(F2),"(1, 2, 2)"
4,1,C4,0,2,4,4,1,2,1,1,1,True,2,M1(F2),"(1, 2, 2)"
8,1,C8,0,8,8,4,3,2,1,1,1,True,6,M1(F2),"(2, 3, 3)"
8,1,C8,0,8,4,8,3,2,1,1,1,True,6,M1(F2),"(2, 3, 3)"
8,1,C8,0,8,2,8,2,2,1,1,1,True,4,M1(F2),"(1, 3, 3)"
8,1,C8,0,8,8,2,2,2,1,1,1,True,4,M1(F2),"(1, 3, 3)"
8,1,C8,0,8,8,4,3,2,1,1,1,True,6,M1(F2),"(2, 3, 3)"
8,1,C8,0,8,4,8,3,2,1,1,1,True,6,M1(F2),"(2, 3, 3)"
8,1,C8,0,4,8,8,3,2,1,1,1,True,6,M1(F2),"(2, 3, 3)"
8,1,C8,0,4,8,8,3,2,1,1,1,True,6,M1(F2),"(2, 3, 3)"
8,1,C8,0,2,8,8,2,2,1,1,1,True,4,M1(F2),"(1, 3, 3)"
8,2,C4 x C2,1,4,2,4,1,3,1,2,2,True,2,M1(F2),"(2, 4, 6)"
8,2,C4 x C2,1,4,4,2,1,3,1,2,2,True,2,M1(F2),"(3, 4, 6)"
8,2,C4 x C2,1,2,4,4,1,3,1,2,2,True,2,M1(F2),"(2, 4, 6)"
8,4,Q8,0,4,4,4,2,2,2,0,0,True,6,M1(F4),"(2, 3, 4)"
16,1,C16,0,16,16,8,7,2,1,1,1,True,14,M1(F2),"(3, 4, 4)"
16,1,C16,0,16,8,16,7,2,1,1,1,True,14,M1(F2),"(3, 4, 4)"
16,1,C16,0,16,4,16,6,2,1,1,1,True,12,M1(F2),"(2, 4, 4)"
16,1,C16,0,16,2,16,4,2,1,1,1,True,8,M1(F2),"(1, 4, 4)"
16,1,C16,0,16,16,4,6,2,1,1,1,True,12,M1(F2),"(2, 4, 4)"
16,1,C16,0,16,16,8,7,2,1,1,1,True,14,M1(F2),"(3, 4, 4)"
16,1,C16,0,16,16,8,7,2,1,1,1,True,14,M1(F2),"(3, 4, 4)"
16,1,C16,0,16,8,16,7,2,1,1,1,True,14,M1(F2),"(3, 4, 4)"
16,1,C16,0,16,8,16,7,2,1,1,1,True,14,M1(F2),"(3, 4, 4)"
16,1,C16,0,16,4,16,6,2,1,1,1,True,12,M1(F2),"(2, 4, 4)"
16,1,C16,0,16,16,2,4,2,1,1,1,True,8,M1(F2),"(1, 4, 4)"
16,1,C16,0,16,16,4,6,2,1,1,1,True,12,M1(F2),"(2, 4, 4)"
16,1,C16,0,16,16,8,7,2,1,1,1,True,14,M1(F2),"(3, 4, 4)"
16,1,C16,0,16,8,16,7,2,1,1,1,True,14,M1(F2),"(3, 4, 4)"
16,1,C16,0,8,16,16,7,2,1,1,1,True,14,M1(F2),"(3, 4, 4)"
16,1,C16,0,8,16,16,7,2,1,1,1,True,14,M1(F2),"(3, 4, 4)"
