order,id,struct,dM,e0,e1,einf,genus,dimZG,dimMG,r,rL,indec,dimEnd,EndModRad,subgp_bin
64,1,C64,0,64,64,32,31,2,1,1,1,True,62,M1(F2),"(5, 6, 6)"
64,1,C64,0,64,32,64,31,2,1,1,1,True,62,M1(F2),"(5, 6, 6)"
64,1,C64,0,64,16,64,30,2,1,1,1,True,60,M1(F2),"(4, 6, 6)"
64,1,C64,0,64,8,64,28,2,1,1,1,True,56,M1(F2),"(3, 6, 6)"
64,1,C64,0,64,4,64,24,2,1,1,1,True,48,M1(F2),"(2, 6, 6)"
64,1,C64,0,64,2,64,16,2,1,1,1,True,32,M1(F2),"(1, 6, 6)"
64,1,C64,0,64,64,16,30,2,1,1,1,True,60,M1(F2),"(4, 6, 6)"
64,1,C64,0,64,64,32,31,2,1,1,1,True,62,M1(F2),"(5, 6, 6)"
64,1,C64,0,64,64,32,31,2,1,1,1,True,62,M1(F2),"(5, 6, 6)"
64,1,C64,0,64,64,32,31,2,1,1,1,True,62,M1(F2),"(5, 6, 6)"
64,1,C64,0,64,64,32,31,2,1,1,1,True,62,M1(F2),"(5, 6, 6)"
64,1,C64,0,64,32,64,31,2,1,1,1,True,62,M1(F2),"(5, 6, 6)"
64,1,C64,0,64,32,64,31,2,1,1,1,True,62,M1(F2),"(5, 6, 6)"
64,1,C64,0,64,32,64,31,2,1,1,1,True,62,M1(F2),"(5, 6, 6)"
64,1,C64,0,64,32,64,31,2,1,1,1,True,62,M1(F2),"(5, 6, 6)"
64,1,C64,0,64,16,64,30,2,1,1,1,True,60,M1(F2),"(4, 6, 6)"
64,1,C64,0,64,16,64,30,2,1,1,1,True,60,M1(F2),"(4, 6, 6)"
64,1,C64,0,64,16,64,30,2,1,1,1,True,60,M1(F2),"(4, 6, 6)"
64,1,C64,0,64,8,64,28,2,1,1,1,True,56,M1(F2),"(3, 6, 6)"
64,1,C64,0,64,8,64,28,2,1,1,1,True,56,M1(F2),"(3, 6, 6)"
64,1,C64,0,64,4,64,24,2,1,1,1,True,48,M1(F2),"(2, 6, 6)"
64,1,C64,0,64,64,8,28,2,1,1,1,True,56,M1(F2),"(3, 6, 6)"
64,1,C64,0,64,64,16,30,2,1,1,1,True,60,M1(F2),"(4, 6, 6)"
64,1,C64,0,64,64,16,30,2,1,1,1,True,60,M1(F2),"(4, 6, 6)"
64,1,C64,0,64,64,16,30,2,1,1,1,True,60,M1(F2),"(4, 6, 6)"
64,1,C64,0,64,64,32,31,2,1,1,1,True,62,M1(F2),"(5, 6, 6)"
64,1,C64,0,64,64,32,31,2,1,1,1,True,62,M1(F2),"(5, 6, 6)"
64,1,C64,0,64,64,32,31,2,1,1,1,True,62,M1(F2),"(5, 6, 6)"
64,1,C64,0,64,64,32,31,2,1,1,1,True,62,M1(F2),"(5, 6, 6)"
64,1,C64,0,64,64,32,31,2,1,1,1,True,62,M1(F2),"(5, 6, 6)"
64,1,C64,0,64,64,32,31,2,1,1,1,True,62,M1(F2),"(5, 6, 6)"
64,1,C64,0,64,32,64,31,2,1,1,1,True,62,M1(F2),"(5, 6, 6)"
64,1,C64,0,64,32,64,31,2,1,1,1,True,62,M1(F2),"(5, 6, 6)"
64,1,C64,0,64,32,64,31,2,1,1,1,True,62,M1(F2),"(5, 6, 6)"
64,1,C64,0,64,32,64,31,2,1,1,1,True,62,M1(F2),"(5, 6, 6)"
64,1,C64,0,64,32,64,31,2,1,1,1,True,62,M1(F2),"(5, 6, 6)"
64,1,C64,0,64,32,64,31,2,1,1,1,True,62,M1(F2),"(5, 6, 6)"
64,1,C64,0,64,16,64,30,2,1,1,1,True,60,M1(F2),"(4, 6, 6)"
64,1,C64,0,64,16,64,30,2,1,1,1,True,60,M1(F2),"(4, 6, 6)"
64,1,C64,0,64,16,64,30,2,1,1,1,True,60,M1(F2),"(4, 6, 6)"
64,1,C64,0,64,8,64,28,2,1,1,1,True,56,M1(F2),"(3, 6, 6)"
64,1,C64,0,64,64,4,24,2,1,1,1,True,48,M1(F2),"(2, 6, 6)"
64,1,C64,0,64,64,8,28,2,1,1,1,True,56,M1(F2),"(3, 6, 6)"
64,1,C64,0,64,64,8,28,2,1,1,1,True,56,M1(F2),"(3, 6, 6)"
64,1,C64,0,64,64,16,30,2,1,1,1,True,60,M1(F2),"(4, 6, 6)"
64,1,C64,0,64,64,16,30,2,1,1,1,True,60,M1(F2),"(4, 6, 6)"
64,1,C64,0,64,64,16,30,2,1,1,1,True,60,M1(F2),"(4, 6, 6)"
64,1,C64,0,64,64,32,31,2,1,1,1,True,62,M1(F2),"(5, 6, 6)"
64,1,C64,0,64,64,32,31,2,1,1,1,True,62,M1(F2),"(5, 6, 6)"
64,1,C64,0,64,64,32,31,2,1,1,1,True,62,M1(F2),"(5, 6, 6)"
64,1,C64,0,64,64,32,31,2,1,1,1,True,62,M1(F2),"(5, 6, 6)"
64,1,C64,0,64,32,64,31,2,1,1,1,True,62,M1(F2),"(5, 6, 6)"
64,1,C64,0,64,32,64,31,2,1,1,1,True,62,M1(F2),"(5, 6, 6)"
64,1,C64,0,64,32,64,31,2,1,1,1,True,62,M1(F2),"(5, 6, 6)"
64,1,C64,0,64,32,64,31,2,1,1,1,True,62,M1(F2),"(5, 6, 6)"
64,1,C64,0,64,16,64,30,2,1,1,1,True,60,M1(F2),"(4, 6, 6)"
64,1,C64,0,64,64,2,16,2,1,1,1,True,32,M1(F2),"(1, 6, 6)"
64,1,C64,0,64,64,4,24,2,1,1,1,True,48,M1(F2),"(2, 6, 6)"
64,1,C64,0,64,64,8,28,2,1,1,1,True,56,M1(F2),"(3, 6, 6)"
64,1,C64,0,64,64,16,30,2,1,1,1,True,60,M1(F2),"(4, 6, 6)"
64,1,C64,0,64,64,32,31,2,1,1,1,True,62,M1(F2),"(5, 6, 6)"
64,1,C64,0,64,32,64,31,2,1,1,1,True,62,M1(F2),"(5, 6, 6)"
64,1,C64,0,32,64,64,31,2,1,1,1,True,62,M1(F2),"(5, 6, 6)"
