[4,1] d(M(G))=0 ([]); dim M_G values [1]; bounds+selfdual ok=True
[8,1] d(M(G))=0 ([]); dim M_G values [1]; bounds+selfdual ok=True
[8,2] d(M(G))=1 ([2]); dim M_G values [1]; bounds+selfdual ok=True
[8,4] d(M(G))=0 ([]); dim M_G values [2]; bounds+selfdual ok=True
[16,1] d(M(G))=0 ([]); dim M_G values [1]; bounds+selfdual ok=True
[16,2] d(M(G))=1 ([4]); dim M_G values [1]; bounds+selfdual ok=True
[16,3] d(M(G))=2 ([2, 2]); dim M_G values [1]; bounds+selfdual ok=True
[16,4] d(M(G))=1 ([2]); dim M_G values [1]; bounds+selfdual ok=True
[16,5] d(M(G))=1 ([2]); dim M_G values [1, 2]; bounds+selfdual ok=True
[16,6] d(M(G))=0 ([]); dim M_G values [1, 2]; bounds+selfdual ok=True
[16,8] d(M(G))=0 ([]); dim M_G values [1]; bounds+selfdual ok=True
[16,9] d(M(G))=0 ([]); dim M_G values [2]; bounds+selfdual ok=True
[32,1] d(M(G))=0 ([]); dim M_G values [1]; bounds+selfdual ok=True
[32,2] d(M(G))=3 ([2, 2, 2]); dim M_G values [2]; bounds+selfdual ok=True
[32,3] d(M(G))=1 ([4]); dim M_G values [1]; bounds+selfdual ok=True
[32,4] d(M(G))=1 ([2]); dim M_G values [1]; bounds+selfdual ok=True
[32,5] d(M(G))=2 ([2, 2]); dim M_G values [2, 3]; bounds+selfdual ok=True
[32,6] d(M(G))=2 ([2, 2]); dim M_G values [1, 2]; bounds+selfdual ok=True
[32,7] d(M(G))=1 ([2]); dim M_G values [2]; bounds+selfdual ok=True
[32,8] d(M(G))=1 ([2]); dim M_G values [3]; bounds+selfdual ok=True
[32,9] d(M(G))=2 ([2, 2]); dim M_G values [1]; bounds+selfdual ok=True
[32,10] d(M(G))=1 ([2]); dim M_G values [2]; bounds+selfdual ok=True
[32,11] d(M(G))=1 ([2]); dim M_G values [1, 2]; bounds+selfdual ok=True
[32,12] d(M(G))=1 ([2]); dim M_G values [1]; bounds+selfdual ok=True
[32,13] d(M(G))=1 ([2]); dim M_G values [1]; bounds+selfdual ok=True
[32,14] d(M(G))=1 ([2]); dim M_G values [1]; bounds+selfdual ok=True
[32,15] d(M(G))=0 ([]); dim M_G values [2]; bounds+selfdual ok=True
[32,16] d(M(G))=1 ([2]); dim M_G values [1, 2]; bounds+selfdual ok=True
[32,17] d(M(G))=0 ([]); dim M_G values [1, 2]; bounds+selfdual ok=True
[32,19] d(M(G))=0 ([]); dim M_G values [1]; bounds+selfdual ok=True
[32,20] d(M(G))=0 ([]); dim M_G values [2]; bounds+selfdual ok=True


